Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
168,UMass Lowell,AE,32,22-10,105.2,105.7,0.4852,50.4,47.3,18.2,15.5,32.1,26.9,40.1,26.9,51.3,49.1,32.3,29.2,29.2,33.7,69.8,-6.1
169,Kent St.,MAC,34,17-17,105.4,106.0,0.4838,50.7,51.3,17.2,18.5,31.0,28.7,31.9,34.9,48.5,52.6,36.0,33.0,39.2,39.7,66.7,-11.6
170,Bryant,AE,33,20-13,100.2,101.0,0.4774,50.7,45.4,15.8,16.7,20.4,30.2,29.9,33.8,51.7,45.0,32.7,30.8,37.7,35.1,74.3,-7.3
171,UNC Asheville,BSth,34,22-12,106.2,107.1,0.4771,52.1,50.1,17.1,16.9,27.3,31.4,40.8,34.3,50.5,50.6,36.4,32.9,37.3,35.8,68.3,-6.8
172,Utah Valley,WAC,32,16-16,98.7,99.6,0.4765,47.1,48.0,18.1,18.1,28.5,27.2,35.4,36.0,48.9,47.6,28.5,32.6,28.9,34.6,67.8,-9.6
173,Georgetown,BE,32,9-23,109.8,110.8,0.4759,48.6,55.7,17.9,16.4,33.4,30.7,33.9,33.6,46.3,57.4,34.6,35.3,41.0,38.2,66.7,-10.4
174,La Salle,A10,33,16-17,106.0,107.0,0.4738,49.2,50.7,14.2,15.4,27.0,30.8,24.8,33.3,47.6,49.3,34.5,35.8,39.8,32.8,66.8,-9.8
175,Hawaii,BW,34,20-14,104.2,105.2,0.4736,52.6,48.5,18.6,15.7,25.8,25.3,39.0,33.6,53.8,49.3,34.0,30.8,42.4,25.4,66.0,-9.4
176,Saint Louis,A10,33,13-20,111.6,112.8,0.469,51.5,54.3,16.8,14.2,26.1,28.5,36.3,35.3,49.6,53.9,36.4,36.6,37.8,42.4,69.5,-11.1
177,Little Rock,OVC,34,21-13,106.0,107.1,0.4683,52.6,48.2,17.5,17.8,31.9,30.0,32.8,35.4,53.0,48.1,34.5,32.3,31.1,38.4,69.0,-9.6
178,Illinois Chicago,MVC,33,12-21,100.8,101.9,0.4682,50.6,48.9,17.7,17.4,22.9,28.4,26.0,35.9,48.4,49.2,36.0,32.2,40.8,35.0,68.2,-13.4
179,Loyola Marymount,WCC,31,12-19,108.3,109.7,0.462,51.6,50.4,16.3,12.4,29.4,27.1,28.8,28.3,49.2,49.8,36.8,34.3,39.9,31.7,64.9,-11.8
180,Brown,Ivy,31,13-18,104.1,105.5,0.4615,49.7,51.2,18.3,16.8,31.9,27.3,33.0,32.1,49.2,52.2,33.7,33.1,40.7,38.2,67.3,-12.0
181,"Longwood  16 seed, R64",BSth,35,21-14,104.1,105.6,0.4605,49.1,51.9,18.3,19.4,36.3,25.9,39.5,36.2,48.4,51.4,34.0,35.1,28.4,39.6,66.9,-8.8
182,East Tennessee St.,SC,35,19-16,102.2,103.8,0.4557,46.9,50.9,18.1,18.8,35.1,29.4,33.9,36.7,47.1,51.2,31.2,33.7,40.9,38.5,67.0,-9.8
183,Fordham,A10,33,13-20,100.6,102.3,0.4519,46.7,50.4,18.2,19.7,32.5,27.4,35.1,45.2,46.2,48.9,31.5,35.9,42.1,31.0,68.9,-12.6
184,Temple,Amer,36,16-20,102.4,104.2,0.4486,46.0,50.4,14.1,17.0,28.2,29.7,32.1,36.0,44.9,51.3,31.7,32.6,42.1,38.6,66.9,-11.8
185,Stephen F. Austin,WAC,33,18-15,100.3,102.2,0.4482,49.4,49.6,21.9,22.9,33.3,30.4,42.2,47.4,49.2,46.0,33.2,37.1,32.1,36.6,69.4,-9.4
186,Pepperdine,WCC,33,13-20,106.2,108.3,0.4447,50.8,54.7,16.4,16.9,28.5,25.9,32.6,33.9,49.5,53.4,35.6,38.4,32.4,31.6,67.6,-12.2
187,Texas A&M Corpus Chris,Slnd,33,21-12,99.8,101.8,0.444,46.3,48.0,17.6,19.8,33.9,25.1,36.3,47.3,47.3,48.8,29.4,31.0,29.7,36.4,68.8,-6.5
188,Vanderbilt,SEC,32,9-23,104.4,106.5,0.4436,45.4,53.0,15.3,15.9,28.2,29.3,35.2,29.5,47.4,51.0,28.3,37.4,39.3,39.6,65.8,-10.6
189,Rice,Amer,32,11-21,107.2,109.4,0.4428,50.5,52.6,17.3,14.8,28.5,29.5,29.9,27.4,50.9,50.0,33.2,37.9,39.4,38.3,65.9,-13.1
190,Louisville,ACC,32,8-24,104.8,107.0,0.4398,48.4,54.6,18.1,16.2,28.1,27.5,38.8,33.8,49.4,53.8,30.6,37.2,31.2,39.1,69.7,-12.3
191,"Long Beach St.  15 seed, R64",BW,36,21-15,105.1,107.7,0.4317,48.5,51.1,17.1,18.3,33.2,29.4,37.8,32.3,49.3,49.9,30.9,35.1,28.1,43.7,71.6,-8.3
192,Fairfield,MAAC,37,24-13,107.3,109.9,0.4314,52.0,52.5,15.5,20.2,27.9,30.6,28.4,25.8,50.4,53.3,36.2,34.1,42.0,36.8,68.4,-8.1
193,Illinois St.,MVC,32,15-17,102.4,104.9,0.4297,47.7,50.9,17.1,16.4,28.9,26.0,36.1,27.2,50.4,52.3,28.8,32.5,37.5,39.6,63.8,-10.1
194,UMKC,Sum,32,16-16,100.8,103.4,0.4255,49.4,51.1,17.9,17.3,31.3,25.3,29.3,45.1,48.9,52.7,33.4,32.4,43.4,37.5,66.6,-11.2
195,Northern Kentucky,Horz,33,18-15,102.1,104.9,0.4234,50.6,51.3,17.3,20.1,29.4,32.6,35.1,28.8,52.2,54.5,31.6,31.2,33.5,41.6,68.0,-9.5
196,Gardner Webb,BSth,33,17-16,102.2,105.0,0.4222,49.1,50.3,16.1,16.0,27.9,26.7,35.9,39.4,47.4,50.0,34.8,34.0,35.3,33.9,69.5,-10.3
197,Texas St.,SB,35,17-18,99.3,102.2,0.4185,47.1,49.7,19.9,18.6,31.2,29.4,37.8,38.3,47.1,50.6,31.4,32.1,24.3,35.4,66.4,-10.6
198,Monmouth,CAA,33,18-15,105.0,108.0,0.4182,49.4,50.0,15.3,17.8,30.5,32.2,29.2,33.3,47.8,49.3,34.8,34.0,36.3,43.2,67.8,-8.6
199,Penn,Ivy,29,11-18,108.8,112.0,0.4159,51.9,54.0,16.7,14.0,29.1,26.6,27.0,26.7,51.2,53.9,35.3,36.1,43.1,43.7,65.6,-11.4
200,Rhode Island,A10,32,12-20,106.1,109.4,0.414,51.5,52.6,18.5,13.1,29.1,28.2,39.4,30.0,51.1,52.0,34.9,35.7,33.4,39.5,68.7,-12.2
201,Tulsa,Amer,31,16-15,101.6,104.8,0.413,50.3,49.7,18.2,18.1,24.4,30.4,40.6,35.1,51.7,50.0,32.1,32.7,41.2,38.7,70.6,-9.4
202,George Washington,A10,32,15-17,106.4,109.8,0.4099,51.5,49.8,17.1,13.9,25.9,29.2,34.2,22.8,49.9,48.3,35.8,34.7,41.6,38.5,70.1,-10.2
203,Eastern Kentucky,ASun,31,17-14,106.8,110.3,0.4092,50.6,49.8,16.1,13.9,33.1,31.0,32.0,29.5,48.8,45.6,36.1,38.7,33.6,33.4,68.6,-9.5
204,Cleveland St.,Horz,36,21-15,105.1,108.5,0.4088,49.4,51.3,14.9,19.3,33.4,34.5,31.0,37.4,49.3,55.2,33.1,30.0,31.2,38.0,67.5,-8.7
205,Columbia,Ivy,27,13-14,106.6,110.1,0.4079,52.5,52.8,17.8,17.0,27.9,28.6,29.3,28.5,50.2,54.1,37.4,33.9,38.5,42.2,68.6,-10.0
206,"Montana St.  16 seed, R68",BSky,35,17-18,103.6,107.1,0.4051,54.2,52.3,16.7,18.5,20.5,28.9,30.6,36.9,53.6,54.0,36.7,32.7,41.7,34.7,68.6,-12.8
207,Radford,BSth,33,16-17,107.6,111.4,0.4016,50.8,50.9,16.2,15.8,30.7,34.0,28.0,31.7,49.4,52.4,35.7,32.4,34.2,39.7,63.7,-11.2
208,Abilene Christian,WAC,34,16-18,101.1,104.7,0.4002,47.1,51.6,17.7,20.2,25.9,30.4,37.9,39.9,45.7,53.0,34.1,32.5,26.4,31.6,68.6,-11.1
209,Mercer,SC,33,16-17,104.1,107.9,0.398,50.1,51.2,16.6,17.9,30.6,31.1,27.6,38.9,48.8,51.2,35.4,34.2,30.1,36.9,66.1,-11.6
210,Evansville,MVC,35,17-18,101.1,104.9,0.3977,50.1,52.4,16.6,17.2,21.4,26.1,28.3,28.3,49.9,51.7,33.6,35.5,34.9,43.0,68.6,-9.1
211,Jacksonville St.,CUSA,32,14-18,101.4,105.1,0.3975,48.2,50.5,20.3,18.2,33.8,25.3,37.2,34.9,48.3,49.4,32.2,34.9,28.3,36.2,64.7,-13.0
212,Northeastern,CAA,32,12-20,105.4,109.3,0.3963,51.2,53.8,18.9,17.0,31.8,27.7,29.8,28.3,53.3,52.3,31.8,37.5,36.1,38.8,65.8,-14.2
213,Northern Colorado,BSky,33,19-14,106.2,110.3,0.391,55.1,52.5,15.7,15.4,23.9,25.0,27.8,29.1,56.4,52.0,35.1,35.6,35.9,39.4,69.9,-9.1
214,Harvard,Ivy,27,14-13,101.2,105.2,0.3882,50.2,50.1,17.8,16.0,26.5,31.3,35.7,25.8,49.9,49.5,33.8,33.9,39.4,40.8,67.6,-7.7
215,Lipscomb,ASun,32,20-12,109.2,113.8,0.3853,56.2,53.5,14.2,16.1,23.2,29.3,27.5,22.8,55.7,52.8,38.1,36.5,39.8,36.6,69.3,-7.4
216,Marist,MAAC,31,18-13,96.5,100.6,0.3826,50.8,47.1,18.4,20.4,23.1,26.8,29.8,35.0,49.3,46.8,35.6,31.8,36.4,38.3,64.6,-10.1
217,South Alabama,SB,32,16-16,103.2,107.7,0.3813,50.9,50.7,16.3,16.7,22.8,31.8,31.6,33.9,50.0,52.3,35.1,31.9,36.1,36.1,68.1,-11.2
218,"Saint Peter's  15 seed, R64",MAAC,33,19-14,97.0,101.2,0.3803,44.6,47.1,19.2,20.4,34.5,29.9,38.0,42.5,42.3,46.6,33.2,32.1,31.5,34.9,64.1,-8.9
219,UC Riverside,BW,34,16-18,103.8,108.4,0.3799,46.3,52.3,14.3,15.8,29.8,25.3,28.6,34.8,44.6,52.0,32.3,35.3,42.2,33.3,67.0,-11.9
220,Merrimack,NEC,33,21-12,95.9,100.1,0.3794,49.8,46.2,19.0,23.2,22.3,34.6,34.3,32.5,52.2,46.1,31.1,30.9,43.1,31.2,67.3,-7.7
221,Wofford,SC,32,17-15,105.7,110.3,0.3789,53.3,51.5,16.9,14.1,29.4,26.2,27.7,34.6,53.4,50.0,35.5,35.7,45.3,42.8,65.6,-9.1
222,Cal Baptist,WAC,33,16-17,101.8,106.4,0.3757,47.0,49.2,17.6,15.3,32.7,24.9,36.8,30.3,45.7,48.4,32.9,34.3,36.0,26.8,63.6,-11.8
223,Rider,MAAC,32,15-17,102.3,106.9,0.3742,47.7,49.2,17.9,16.0,31.4,29.0,31.9,36.5,46.6,47.7,33.7,34.4,28.1,38.2,68.0,-11.2
224,San Jose St.,MWC,32,9-23,104.7,109.6,0.3726,51.4,54.4,15.6,15.9,22.4,30.2,22.4,35.9,51.5,52.3,34.2,38.9,42.0,35.1,65.8,-14.1
225,North Dakota,Sum,32,18-14,104.9,109.8,0.3719,50.2,52.4,15.0,15.3,30.7,26.1,32.2,29.6,51.5,52.2,32.3,35.2,41.8,33.9,66.8,-10.1
226,Mount St. Mary's,MAAC,32,13-19,102.2,107.3,0.3642,53.2,49.3,20.7,18.0,30.2,27.9,26.7,30.3,53.3,48.0,35.2,34.6,33.3,34.8,69.0,-15.0
227,Tennessee Martin,OVC,32,21-11,105.4,110.8,0.3589,50.5,49.3,15.0,13.2,27.0,26.3,32.8,24.6,48.2,49.4,36.2,32.8,38.1,41.0,72.9,-6.9
228,Cal St. Fullerton,BW,32,14-18,99.4,104.6,0.3557,48.0,49.9,18.1,17.9,24.3,29.6,38.6,35.6,47.7,51.3,32.2,31.8,36.2,38.6,66.4,-11.9
229,Air Force,MWC,31,9-22,106.4,112.2,0.3514,53.8,54.2,18.8,17.6,23.8,31.5,29.6,39.1,53.6,53.7,36.1,36.6,47.2,36.7,62.0,-13.8
230,Georgia St.,SB,31,14-17,104.2,109.9,0.3514,48.5,49.3,13.8,14.2,27.2,30.5,28.6,35.9,48.6,51.2,32.2,30.8,35.3,38.5,68.0,-11.8
231,Bowling Green,MAC,34,20-14,101.5,107.1,0.3499,48.1,51.2,16.3,16.1,30.5,25.5,35.1,27.1,50.3,49.1,29.3,36.7,34.8,34.5,67.7,-9.5
232,UTSA,Amer,32,11-21,106.4,112.5,0.3466,48.3,51.9,15.5,13.1,32.0,28.9,35.0,34.6,46.9,49.8,33.4,37.0,44.5,37.5,70.6,-14.8
233,Iona,MAAC,33,16-17,102.3,108.2,0.3448,50.0,52.8,14.9,22.2,28.3,30.8,28.5,37.5,48.2,54.1,35.3,34.0,38.7,40.0,67.0,-12.7
234,Fresno St.,MWC,33,12-21,102.3,108.3,0.3422,51.5,53.1,18.8,15.4,24.4,30.4,30.4,28.0,52.6,51.8,33.2,36.9,38.5,37.3,65.6,-11.6
235,"Stetson  16 seed, R64",ASun,35,22-13,107.9,114.3,0.3415,52.8,52.3,15.9,13.5,27.4,31.5,31.8,25.5,52.1,52.6,35.9,34.6,41.7,37.3,66.2,-7.0
236,Nicholls St.,Slnd,34,20-14,103.7,109.9,0.3392,51.5,49.8,19.0,16.4,27.6,32.2,37.6,39.4,48.9,50.7,36.8,32.1,40.3,36.3,66.3,-8.3
237,Milwaukee,Horz,35,20-15,106.3,112.7,0.339,51.0,50.6,17.9,15.5,36.0,32.6,34.0,32.8,52.7,50.2,32.2,34.2,38.8,38.4,70.0,-9.9
238,Cal St. Northridge,BW,34,19-15,98.9,104.9,0.3386,48.9,48.3,19.0,18.0,31.1,26.9,37.6,39.5,50.3,47.2,30.0,33.1,26.4,44.5,72.7,-10.6
239,North Florida,ASun,32,16-16,105.6,112.0,0.3365,53.6,52.6,16.3,14.4,23.5,29.9,28.3,33.7,53.3,52.3,35.9,35.5,54.7,29.9,67.2,-11.6
240,Florida Gulf Coast,ASun,32,14-18,102.1,108.3,0.336,52.1,52.8,17.6,15.8,29.6,28.3,27.2,29.3,50.8,52.0,36.2,35.9,37.3,42.8,64.0,-13.3
241,Marshall,SB,33,13-20,100.1,106.3,0.3339,46.8,51.4,16.5,16.2,29.8,27.9,28.8,29.9,47.1,49.8,31.0,36.2,41.3,35.3,70.6,-14.1
242,UC Santa Barbara,BW,31,16-15,104.2,110.8,0.3311,53.3,50.6,19.1,14.3,25.2,26.6,39.7,31.0,53.4,51.8,35.4,32.1,30.5,33.7,67.4,-10.7
