Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
266,North Alabama,ASun,32,15-17,104.3,112.5,0.2944,49.8,51.5,14.6,14.2,27.0,27.8,32.9,40.9,47.9,50.6,35.6,35.4,34.6,34.8,67.8,-12.2
267,Lehigh,Pat,32,14-18,99.0,106.8,0.2938,49.5,51.7,16.9,17.9,22.0,23.5,33.0,29.6,50.2,50.7,32.2,35.6,37.6,37.2,70.1,-13.5
268,Georgia Southern,SB,33,9-24,104.6,113.0,0.2915,50.8,52.0,18.8,17.3,28.8,33.9,28.9,43.1,49.3,51.4,35.2,35.5,44.6,36.4,69.0,-17.9
269,Central Michigan,MAC,32,18-14,95.9,103.6,0.2902,46.8,47.3,17.5,16.2,28.6,30.7,27.4,30.6,47.7,47.7,30.1,31.2,35.2,40.8,65.4,-8.3
270,Utah Tech,WAC,31,11-20,99.8,107.9,0.288,50.4,50.4,21.8,18.3,28.2,31.6,40.3,43.2,50.2,50.1,33.7,33.9,34.7,36.7,70.3,-13.9
271,Bucknell,Pat,33,14-19,98.7,106.9,0.2869,50.4,49.5,18.9,16.4,25.9,28.6,29.0,31.5,50.2,50.1,33.8,32.4,44.9,42.2,64.9,-14.6
272,Portland,WCC,33,12-21,103.9,112.5,0.2856,50.5,55.3,17.1,13.2,23.6,28.8,31.7,22.6,49.9,53.9,34.1,38.0,44.5,45.1,67.8,-13.3
273,Binghamton,AE,30,15-15,101.8,110.3,0.2843,49.4,50.0,18.0,13.3,29.1,25.0,34.3,34.8,51.4,48.4,29.9,35.0,30.7,38.0,66.6,-10.7
274,Texas Southern,SWAC,33,16-17,98.6,106.9,0.2828,46.9,48.3,18.1,17.8,30.0,30.9,31.1,40.1,47.1,48.2,31.1,32.4,38.8,36.0,67.8,-10.7
275,Nebraska Omaha,Sum,33,15-18,102.3,111.0,0.2811,49.5,53.4,14.5,15.9,24.7,26.4,39.7,32.2,50.5,53.3,31.6,35.7,33.0,42.5,67.4,-13.5
276,"Howard  16 seed, R68",MEAC,35,18-17,104.7,113.6,0.28,51.7,51.1,21.2,16.6,33.3,30.3,42.1,38.4,49.1,50.9,37.2,34.4,39.0,33.2,67.9,-12.2
277,Central Connecticut,NEC,31,20-11,100.0,108.7,0.2763,50.2,49.6,16.7,17.5,27.6,26.8,33.0,26.7,50.8,48.2,32.8,34.8,35.4,35.2,66.8,-8.1
278,The Citadel,SC,32,11-21,101.2,110.1,0.2757,50.6,53.5,18.0,16.1,27.3,26.8,33.7,22.5,51.3,54.1,32.8,35.2,33.3,39.9,65.4,-15.7
279,New Mexico St.,CUSA,32,13-19,99.6,108.3,0.275,46.9,50.9,17.7,15.8,25.4,29.6,32.7,44.8,47.0,50.0,31.2,34.7,34.6,42.4,66.3,-12.6
280,New Hampshire,AE,31,16-15,98.0,106.8,0.2713,47.9,50.5,16.6,16.4,23.5,25.5,29.8,27.5,48.1,53.5,31.8,30.5,43.7,38.4,71.4,-9.4
281,Presbyterian,BSth,33,14-19,101.6,110.7,0.2713,51.2,52.8,16.9,17.7,26.3,27.8,36.8,42.0,52.2,52.8,32.8,35.2,33.0,35.6,67.6,-14.1
282,Kennesaw St.,ASun,31,15-16,103.7,113.1,0.2708,51.5,53.1,16.0,17.6,30.0,30.5,35.4,43.2,53.0,51.3,32.9,37.2,42.5,39.5,74.1,-12.6
283,Oral Roberts,Sum,31,12-19,102.1,111.5,0.266,51.1,51.4,14.2,14.5,20.9,30.6,26.0,32.3,49.1,50.0,36.0,35.8,42.1,38.5,67.7,-13.6
284,USC Upstate,BSth,30,10-20,99.3,108.5,0.2654,49.6,52.0,16.4,18.6,23.9,34.3,29.5,45.0,50.2,53.0,32.5,33.5,39.9,35.7,67.2,-15.3
285,Denver,Sum,34,17-17,105.9,115.9,0.263,51.8,54.7,14.0,14.2,27.3,27.6,35.0,32.0,51.2,54.4,35.1,36.8,41.0,35.5,70.6,-12.4
286,"Wagner  16 seed, R64",NEC,33,17-16,96.2,105.3,0.2625,45.1,48.8,15.7,16.8,28.8,27.7,26.4,30.2,43.1,51.0,32.2,30.4,37.7,40.8,61.5,-11.6
287,DePaul,BE,32,3-29,101.3,111.0,0.2583,48.1,56.5,19.9,14.5,22.0,32.3,33.5,28.4,47.0,56.1,33.5,38.1,34.8,41.1,67.8,-14.8
288,Niagara,MAAC,32,16-16,101.5,111.3,0.2577,52.0,52.2,17.4,16.5,23.4,26.8,36.0,30.7,51.2,52.1,35.9,35.0,31.8,27.6,67.4,-12.5
289,Sacred Heart,NEC,32,16-16,101.4,111.4,0.2516,51.5,51.6,17.1,20.1,25.9,32.6,31.7,31.9,50.2,50.6,35.9,35.3,34.1,41.6,69.3,-12.7
290,SIU Edwardsville,OVC,33,17-16,100.2,110.3,0.2494,47.2,51.1,15.6,17.4,30.1,28.2,31.9,37.2,46.2,49.2,32.5,36.2,36.8,37.5,67.0,-12.0
291,FIU,CUSA,33,11-22,100.2,110.3,0.2493,49.7,55.6,18.9,24.1,27.0,37.3,28.4,35.9,49.9,52.9,32.9,40.3,41.7,36.0,70.4,-16.4
292,Alcorn St.,SWAC,32,14-18,105.7,116.5,0.2462,48.9,55.0,17.0,17.2,33.4,30.6,37.4,36.6,48.0,54.0,34.2,37.5,26.6,45.8,66.7,-11.4
293,Boston University,Pat,33,16-17,98.2,108.2,0.246,47.8,50.0,17.7,16.9,26.6,23.0,30.2,36.2,46.8,48.7,32.8,34.6,40.8,41.0,65.9,-14.2
294,Valparaiso,MVC,32,7-25,99.6,109.9,0.2437,46.2,54.5,15.9,17.3,25.7,30.3,23.3,30.7,45.0,55.0,32.1,35.8,36.3,35.2,68.0,-17.4
295,Tennessee St.,OVC,33,18-15,98.0,108.2,0.2427,48.8,48.8,19.7,18.6,28.4,32.0,38.1,44.3,49.8,48.6,31.3,32.7,35.9,34.3,68.4,-11.4
296,Louisiana Monroe,SB,30,11-19,100.0,110.5,0.2414,44.8,52.6,18.2,17.2,34.1,29.0,38.4,37.6,45.6,51.7,28.5,35.8,28.7,44.9,67.1,-13.5
297,Chicago St.,ind,32,13-19,98.6,108.9,0.2407,46.1,53.6,20.0,21.1,32.4,35.3,38.2,36.0,46.9,55.6,29.7,33.3,34.5,35.5,65.2,-12.6
298,Old Dominion,SB,32,7-25,98.1,108.4,0.2397,47.6,51.3,15.0,18.0,25.2,31.2,27.1,39.7,47.5,50.0,31.8,35.5,35.1,42.0,69.9,-19.5
299,South Carolina St.,MEAC,32,14-18,98.0,108.5,0.2374,45.7,52.2,21.3,21.8,37.7,31.0,36.5,49.2,44.5,53.3,32.3,33.6,31.9,38.3,68.9,-13.0
300,Delaware St.,MEAC,34,15-19,95.1,105.3,0.236,46.1,50.9,21.1,21.7,33.1,31.5,39.5,36.2,46.0,48.9,31.0,35.9,25.1,39.8,69.0,-14.1
301,American,Pat,32,16-16,102.4,113.5,0.235,52.5,53.4,17.3,17.0,27.9,25.6,28.4,29.8,52.8,51.9,34.7,36.9,44.9,42.3,63.0,-12.5
302,Jacksonville,ASun,33,16-17,98.9,109.8,0.2314,48.7,52.3,19.2,17.4,34.6,30.7,36.3,40.4,47.7,51.5,33.8,35.7,33.1,40.9,65.9,-12.1
303,Northern Illinois,MAC,31,11-20,101.5,112.8,0.2286,49.8,52.9,18.1,14.3,28.0,31.2,36.2,34.7,50.2,51.8,32.7,36.7,39.1,35.8,68.3,-14.3
304,Bellarmine,ASun,31,8-23,100.1,111.4,0.2269,49.0,53.9,14.5,14.6,21.8,29.4,21.4,31.9,48.3,55.1,33.6,35.0,37.3,44.4,65.1,-17.6
305,Campbell,CAA,32,14-18,100.6,112.2,0.2224,52.0,52.2,18.1,16.4,23.8,31.2,33.7,23.6,52.0,52.9,34.6,34.1,38.6,43.3,66.4,-13.8
306,Jackson St.,SWAC,32,15-17,100.2,111.7,0.2221,47.0,52.6,19.0,19.0,34.9,32.0,34.7,34.5,46.2,52.4,32.5,35.2,33.8,39.6,68.8,-11.6
307,Le Moyne,NEC,32,15-17,98.8,110.3,0.2189,50.1,50.6,16.6,17.8,23.1,29.9,25.3,27.8,49.2,51.0,34.1,33.4,47.5,43.0,67.5,-13.8
308,Bethune Cookman,SWAC,34,17-17,97.2,108.7,0.217,47.3,50.1,19.5,21.9,29.2,33.2,38.2,49.2,47.0,49.5,32.0,34.1,29.7,35.2,69.7,-12.4
309,Elon,CAA,32,13-19,101.4,113.7,0.2121,50.6,53.2,17.8,15.7,28.7,32.8,32.8,29.1,48.8,54.5,35.2,34.2,43.7,40.0,67.7,-14.1
310,Southeastern Louisiana,Slnd,32,15-17,97.8,109.9,0.2084,48.4,51.3,20.9,17.3,30.7,30.3,35.0,30.2,46.6,52.2,34.1,33.4,38.6,44.8,64.8,-11.9
311,Sacramento St.,BSky,34,10-24,97.9,110.0,0.2072,48.7,54.1,22.8,15.6,34.1,25.8,32.9,32.7,48.7,55.1,32.4,35.0,41.2,38.6,64.1,-19.2
312,William & Mary,CAA,33,10-23,100.0,112.6,0.2037,48.3,52.2,16.3,14.4,27.4,29.1,31.9,34.9,48.6,52.5,32.1,34.5,47.7,36.5,66.0,-18.7
313,Idaho,BSky,32,11-21,98.5,111.1,0.1998,50.2,53.5,17.5,16.6,22.7,28.6,26.7,37.2,50.2,53.4,33.5,35.8,41.0,38.5,65.0,-16.8
314,Coastal Carolina,SB,31,9-22,98.7,111.3,0.1992,49.4,50.1,19.1,12.7,29.3,30.5,32.5,29.5,50.0,50.6,32.1,33.0,32.9,46.6,69.4,-17.8
315,South Dakota,Sum,32,12-20,103.5,116.9,0.1978,51.9,53.1,18.3,11.7,27.5,28.6,30.5,27.3,49.6,52.3,37.6,36.2,34.5,38.3,68.9,-16.5
316,Robert Morris,Horz,32,10-22,100.0,113.1,0.1959,50.3,53.3,20.0,15.8,33.2,29.5,28.0,36.8,50.0,54.3,33.8,34.3,42.6,34.8,67.2,-17.2
317,Western Michigan,MAC,32,12-20,98.3,111.4,0.1916,48.7,50.9,19.7,15.5,33.7,29.6,31.5,31.5,48.4,50.8,32.8,34.1,38.9,38.5,68.5,-15.2
318,Northern Arizona,BSky,33,14-19,98.2,111.4,0.1904,49.3,52.9,18.1,16.7,24.1,31.1,31.1,37.4,50.7,55.4,31.2,32.0,35.2,34.0,68.4,-13.5
319,Alabama St.,SWAC,32,13-19,92.4,105.0,0.1876,41.0,49.1,16.3,20.0,31.7,29.1,28.5,43.4,40.4,47.6,28.0,34.1,38.4,41.0,67.2,-13.8
320,Eastern Illinois,OVC,32,14-18,95.5,108.8,0.1836,44.8,52.0,15.7,19.7,27.5,28.0,27.2,37.5,43.6,51.1,31.8,35.8,29.6,37.1,66.6,-13.2
321,Charleston Southern,BSth,30,10-20,93.7,107.1,0.1778,45.2,50.9,18.1,13.4,27.0,29.0,31.2,33.5,44.1,52.3,31.4,31.9,35.9,31.5,66.9,-14.2
322,Northwestern St.,Slnd,32,9-23,97.2,111.3,0.1741,47.7,51.9,19.3,18.5,29.8,34.1,36.7,41.4,48.0,53.8,31.3,32.6,34.4,37.2,67.6,-18.5
323,Eastern Michigan,MAC,31,13-18,96.5,110.5,0.1738,47.9,52.0,17.0,15.7,27.6,31.2,25.0,31.5,48.7,54.7,30.8,31.9,32.3,39.5,65.4,-14.1
324,Lafayette,Pat,32,11-21,93.1,106.9,0.1706,46.9,48.5,17.5,17.4,24.2,29.1,23.9,31.5,47.0,46.6,31.2,34.3,40.0,38.5,65.4,-17.0
325,Alabama A&M,SWAC,35,12-23,93.4,107.9,0.1598,45.9,49.1,22.4,19.4,31.8,32.7,47.2,45.2,46.9,46.9,28.7,35.2,26.9,36.8,70.5,-17.5
326,Southern Indiana,OVC,32,8-24,96.7,111.7,0.1589,45.6,49.5,19.4,16.6,27.0,28.5,37.6,48.6,44.5,49.3,31.6,33.3,36.3,37.5,69.2,-19.2
327,Navy,Pat,31,13-18,95.9,111.1,0.1556,44.0,50.3,15.6,20.5,31.8,30.8,34.8,35.7,43.8,50.9,29.6,32.9,33.1,40.7,65.5,-15.4
328,NJIT,AE,28,7-21,97.8,113.7,0.1507,44.6,52.4,16.4,16.6,28.3,32.9,31.2,39.7,44.7,52.3,29.6,35.0,39.2,35.8,66.5,-16.8
329,Arkansas Pine Bluff,SWAC,31,13-18,101.6,118.3,0.1471,51.5,52.6,18.0,15.4,22.9,34.0,40.2,32.5,48.4,56.0,36.5,31.4,49.4,38.3,72.0,-13.2
330,Hampton,CAA,33,9-24,95.5,111.3,0.1465,46.7,51.6,17.9,15.0,27.9,31.9,29.4,29.9,46.9,52.1,30.9,33.9,38.6,39.0,69.8,-20.1
331,Dartmouth,Ivy,27,6-21,93.7,109.6,0.1406,47.6,54.2,19.4,13.4,20.7,24.5,27.8,24.4,48.2,53.2,31.2,37.0,42.7,42.4,65.1,-16.0
332,UT Rio Grande Valley,WAC,31,6-25,94.8,111.0,0.1403,45.1,53.1,19.0,18.9,24.3,33.4,41.2,34.4,45.8,54.2,29.0,33.9,29.2,33.4,71.3,-19.2
333,New Orleans,Slnd,33,10-23,97.9,114.7,0.1403,45.5,54.4,17.3,19.1,28.4,34.9,39.2,38.7,45.5,54.9,30.2,35.5,29.3,31.7,71.3,-18.2
334,Fairleigh Dickinson,NEC,32,15-17,96.0,112.9,0.1332,47.1,52.9,17.2,19.0,27.8,31.2,34.9,32.0,46.7,52.4,31.8,35.7,39.3,40.5,72.3,-13.8
335,Morgan St.,MEAC,31,11-20,96.6,113.8,0.1319,47.4,52.0,20.2,18.2,29.5,37.2,31.3,41.4,49.3,51.6,28.2,35.3,26.9,32.4,70.7,-15.6
336,Manhattan,MAAC,30,7-23,95.1,112.3,0.1295,47.2,53.1,19.2,16.9,24.8,30.1,22.1,27.3,47.4,52.2,31.3,36.7,38.7,33.8,68.4,-18.4
337,Central Arkansas,ASun,32,9-23,96.7,114.2,0.1289,47.5,54.0,18.1,15.4,28.3,31.4,29.3,33.7,45.2,51.9,34.2,37.9,37.8,42.1,69.2,-19.0
338,Texas A&M Commerce,Slnd,33,13-20,94.4,112.1,0.1228,46.0,52.4,16.7,18.3,24.3,33.1,30.8,39.2,47.6,52.4,29.4,35.0,46.0,30.4,66.3,-14.2
339,Florida A&M,SWAC,29,6-23,92.1,109.9,0.1165,47.5,51.8,21.4,16.3,26.3,31.7,28.0,39.2,46.0,51.1,34.1,35.3,29.9,36.6,68.2,-16.9
340,LIU,NEC,29,7-22,93.2,111.2,0.116,46.4,50.8,20.1,15.8,25.5,28.5,31.5,41.1,46.3,53.0,31.0,31.1,29.9,34.3,70.4,-18.3
341,Cal Poly,BW,32,4-28,93.9,112.2,0.1148,46.0,51.5,18.6,17.3,24.3,33.6,31.3,41.9,44.1,50.8,33.0,35.6,34.0,30.3,65.8,-23.4
342,Prairie View A&M,SWAC,31,10-21,93.6,112.1,0.1112,45.6,53.7,17.7,22.6,26.5,35.2,36.9,46.6,45.6,54.1,30.4,35.2,26.4,32.9,71.0,-16.0
343,North Carolina A&T,CAA,32,7-25,95.2,114.1,0.1111,43.9,54.5,13.8,15.9,24.3,34.0,34.0,29.5,44.4,55.5,28.7,35.2,35.7,37.2,68.0,-19.1
344,Loyola MD,Pat,32,7-25,93.8,112.4,0.1108,47.2,53.3,20.4,15.6,29.2,26.4,30.0,32.6,46.1,53.3,32.7,35.6,38.7,36.6,65.8,-20.9
345,Tennessee Tech,OVC,31,10-21,94.5,113.4,0.1095,49.0,52.5,17.8,15.4,18.9,28.1,31.0,24.6,49.2,52.7,32.3,34.8,34.1,37.7,65.8,-17.3
346,Buffalo,MAC,31,4-27,95.2,114.2,0.1094,47.3,53.9,20.0,15.1,28.3,30.6,26.0,28.7,51.6,53.5,27.5,36.5,41.4,35.1,69.1,-22.2
347,Detroit Mercy,Horz,32,1-31,96.8,116.2,0.1093,47.3,55.9,19.4,17.3,25.9,35.2,30.3,31.9,50.4,56.1,28.1,37.1,36.9,37.2,67.2,-24.8
348,Incarnate Word,Slnd,31,8-23,95.4,114.9,0.1056,48.2,51.8,21.7,15.1,30.0,30.0,37.1,40.7,48.3,50.2,32.0,36.7,39.7,34.4,70.0,-19.5
349,Army,Pat,32,10-22,90.7,109.3,0.1053,47.1,50.3,18.9,16.6,27.0,25.5,25.4,31.6,46.5,50.6,31.8,33.2,45.1,39.5,63.1,-19.5
350,Holy Cross,Pat,33,10-23,99.5,121.1,0.0949,50.1,53.6,16.5,12.8,23.2,28.1,25.9,30.6,48.7,50.7,35.0,38.7,37.7,39.7,65.8,-19.3
351,Maryland Eastern Shore,MEAC,29,9-20,89.3,109.5,0.0879,43.0,50.9,20.0,18.9,28.8,33.7,32.7,37.8,43.3,51.7,28.3,33.0,34.8,36.2,67.3,-16.4
352,Pacific,WCC,32,6-26,94.8,116.9,0.0827,46.5,56.3,16.9,16.1,18.8,33.2,37.1,36.4,46.0,58.2,31.5,35.7,36.3,39.7,68.4,-19.2
353,Southeast Missouri St.,OVC,31,9-22,90.6,112.0,0.0806,45.1,52.0,17.3,17.2,24.0,29.5,27.0,44.2,45.1,54.0,30.0,31.5,33.5,30.5,69.3,-18.3
354,Lindenwood,OVC,31,9-22,91.6,113.6,0.0779,43.3,53.9,17.9,17.7,23.6,28.7,38.3,40.2,43.2,52.5,29.0,37.6,30.7,37.4,67.5,-18.2
355,Houston Christian,Slnd,29,6-23,96.8,120.1,0.0771,46.9,54.0,21.0,13.6,29.7,33.7,36.8,28.6,47.9,55.5,29.5,34.0,28.0,34.1,71.6,-17.3
356,Siena,MAAC,32,4-28,90.4,112.8,0.0727,44.7,51.8,23.4,14.8,33.2,31.2,30.8,28.0,46.1,51.3,28.0,35.2,34.3,34.1,66.1,-23.8
357,Stonehill,NEC,31,4-27,90.9,114.5,0.0656,46.7,52.7,19.5,16.6,22.5,31.0,22.6,29.4,47.9,51.7,30.1,35.9,47.0,46.2,68.2,-22.0
358,VMI,SC,32,4-28,87.9,110.8,0.0654,46.0,54.4,21.2,15.1,23.8,30.6,27.6,30.9,46.7,54.5,29.7,36.2,33.3,38.4,74.8,-22.8
359,IU Indy,Horz,32,6-26,92.7,117.2,0.0635,46.5,58.2,21.3,18.5,30.0,35.5,33.2,33.4,49.5,59.0,24.7,38.0,24.3,37.5,67.4,-21.6
360,Saint Francis,NEC,30,8-22,93.5,118.1,0.0634,47.2,53.0,21.2,17.1,32.9,31.3,32.6,35.4,45.7,52.9,33.2,35.4,35.1,37.1,65.6,-18.6
361,Coppin St.,MEAC,29,2-27,85.3,111.3,0.045,42.1,51.3,22.9,21.8,27.0,38.6,31.1,38.3,41.9,51.0,28.3,34.5,34.4,37.6,66.4,-23.0
362,Mississippi Valley St.,SWAC,31,1-30,85.9,115.9,0.0311,42.5,55.6,24.0,17.2,27.9,35.7,33.0,41.6,41.9,55.6,29.2,37.0,30.4,36.5,64.6,-22.7
